epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.426,2.17533,3.69209,1.27867,0.3799,0.20036,0.24061,0.11632,2.28914,4.41752,1.48561,0.000325,0.000325,0.067825
2,499.463,1.70508,2.0072,1.09761,0.88407,0.80362,0.86257,0.47696,2.14467,1.73578,1.17761,0.000652408,0.000652408,0.0348191
3,745.863,1.51252,1.65394,1.04877,0.89857,0.86508,0.91961,0.56169,1.76171,1.43243,1.03984,0.000973817,0.000973817,0.00180715
4,988.255,1.49814,1.5544,1.03685,0.85089,0.86697,0.926,0.59238,1.66971,1.41806,1.02608,0.000973,0.000973,0.000973
5,1248.2,1.41264,1.41664,1.03447,0.92086,0.85642,0.89098,0.5659,1.62642,1.35153,1.03288,0.000964,0.000964,0.000964
6,1503.28,1.338,1.3084,1.00804,0.94919,0.88702,0.93963,0.64849,1.33519,1.24575,0.98851,0.000955,0.000955,0.000955
7,1748.7,1.30536,1.20547,0.99041,0.95623,0.91759,0.9461,0.62556,1.4271,1.12276,0.97542,0.000946,0.000946,0.000946
8,2008.29,1.22801,1.10146,0.95973,0.94355,0.94086,0.96352,0.67788,1.24203,0.96399,0.98692,0.000937,0.000937,0.000937
9,2262.82,1.2357,1.11057,0.96818,0.95107,0.8839,0.93865,0.67715,1.35301,0.99123,0.97026,0.000928,0.000928,0.000928
10,2510.9,1.21639,1.08333,0.97678,0.96852,0.89425,0.95049,0.66891,1.4874,0.98611,0.97186,0.000919,0.000919,0.000919
11,2752.1,1.1543,1.03521,0.94603,0.98388,0.92125,0.96723,0.73169,1.25856,0.94687,0.95256,0.00091,0.00091,0.00091
12,2994.77,1.09623,0.98492,0.94054,0.94229,0.91754,0.96329,0.76878,0.96522,0.85313,0.91759,0.000901,0.000901,0.000901
13,3248.82,1.06093,0.95205,0.93093,0.96133,0.95222,0.97578,0.73882,1.06163,0.78081,0.88766,0.000892,0.000892,0.000892
14,3498.56,1.0751,0.92778,0.9355,0.98442,0.93415,0.97652,0.78291,0.99754,0.75193,0.90369,0.000883,0.000883,0.000883
15,3752.24,1.02562,0.88572,0.93468,0.98137,0.91674,0.96714,0.76381,1.01626,0.75353,0.88566,0.000874,0.000874,0.000874
16,4008.32,0.95099,0.85416,0.92267,0.97064,0.95645,0.96949,0.80232,0.82367,0.71877,0.87532,0.000865,0.000865,0.000865
17,4258.94,0.9346,0.84825,0.91827,0.96449,0.97312,0.98781,0.80117,0.79997,0.70743,0.87013,0.000856,0.000856,0.000856
18,4504.94,0.92895,0.81253,0.90365,0.97957,0.95777,0.98473,0.76858,1.04735,0.72451,0.87589,0.000847,0.000847,0.000847
19,4743.62,0.92817,0.80957,0.90764,0.99392,0.98595,0.99345,0.80942,0.87415,0.63443,0.8663,0.000838,0.000838,0.000838
20,4991.13,0.93637,0.80632,0.89584,0.98771,0.96811,0.98889,0.78318,0.94105,0.69257,0.87941,0.000829,0.000829,0.000829
21,5251.92,0.87727,0.75305,0.89104,0.94172,0.98567,0.98741,0.82963,0.75306,0.65538,0.85184,0.00082,0.00082,0.00082
22,5497.63,0.84612,0.75451,0.8872,0.99556,0.97974,0.99428,0.81444,0.89074,0.63886,0.84903,0.000811,0.000811,0.000811
23,321.221,0.89456,0.77031,0.87817,0.97613,0.97766,0.97838,0.77084,1.06919,0.69045,0.86914,0.000802,0.000802,0.000802
24,617.23,0.86199,0.74947,0.87289,0.99684,0.96988,0.97844,0.82018,0.78191,0.6398,0.85218,0.000793,0.000793,0.000793
25,897.437,0.8063,0.70506,0.86938,0.99341,0.9875,0.99214,0.80765,0.9136,0.6021,0.85382,0.000784,0.000784,0.000784
26,1163.82,0.80334,0.69213,0.86912,0.99712,0.98704,0.99438,0.81484,0.83685,0.57642,0.84483,0.000775,0.000775,0.000775
27,1430.54,0.8088,0.70769,0.87747,0.9892,0.99728,0.99497,0.80814,0.84801,0.61806,0.8417,0.000766,0.000766,0.000766
28,1694.36,0.79832,0.70761,0.8787,0.99141,0.98078,0.99395,0.83408,0.77466,0.56325,0.83942,0.000757,0.000757,0.000757
29,1957.61,0.78382,0.68209,0.8717,0.99361,0.99126,0.99466,0.85299,0.73587,0.5569,0.83998,0.000748,0.000748,0.000748
30,2220.8,0.76153,0.6529,0.86542,0.99155,0.99167,0.99236,0.84493,0.80053,0.59157,0.84257,0.000739,0.000739,0.000739
31,2485.03,0.78704,0.66565,0.86763,0.99418,0.96926,0.98806,0.83203,0.74677,0.58087,0.86516,0.00073,0.00073,0.00073
32,2754.65,0.75867,0.64768,0.87372,0.99269,0.97425,0.99125,0.83092,0.76607,0.57497,0.84849,0.000721,0.000721,0.000721
33,3019.34,0.70578,0.6214,0.8567,0.99506,0.99859,0.995,0.87436,0.66679,0.53904,0.83504,0.000712,0.000712,0.000712
34,3283.75,0.69995,0.60418,0.85772,0.98814,0.99881,0.99436,0.84388,0.76503,0.53976,0.8358,0.000703,0.000703,0.000703
35,3565.8,0.70786,0.63206,0.85392,0.98617,0.99684,0.99372,0.82041,0.82042,0.54721,0.8325,0.000694,0.000694,0.000694
36,3834.15,0.70824,0.62229,0.85664,0.9888,0.99167,0.99405,0.87266,0.62308,0.5023,0.83208,0.000685,0.000685,0.000685
37,4098.02,0.69011,0.62379,0.86983,0.98344,0.97482,0.9855,0.87327,0.62681,0.54221,0.84609,0.000676,0.000676,0.000676
38,4362.48,0.6861,0.60987,0.86469,0.98076,0.99533,0.99336,0.85681,0.72165,0.53718,0.83418,0.000667,0.000667,0.000667
39,4623,0.70724,0.61952,0.85952,0.98904,0.99744,0.99404,0.84938,0.70755,0.53048,0.82724,0.000658,0.000658,0.000658
40,4879.99,0.69258,0.59986,0.84845,0.99472,0.99951,0.995,0.86994,0.68622,0.50516,0.81876,0.000649,0.000649,0.000649
41,5136.52,0.71432,0.60723,0.86081,0.98254,0.99863,0.99436,0.8751,0.62087,0.51468,0.81944,0.00064,0.00064,0.00064
42,5541.9,0.70787,0.61632,0.85361,0.99768,1,0.995,0.8571,0.73748,0.51587,0.82451,0.000631,0.000631,0.000631
43,6068.62,0.66436,0.58329,0.85462,0.99588,1,0.995,0.88247,0.62143,0.49366,0.82215,0.000622,0.000622,0.000622
44,6539.54,0.68751,0.58475,0.8483,0.99796,1,0.995,0.86692,0.66199,0.49055,0.82577,0.000613,0.000613,0.000613
45,7029.16,0.7153,0.59148,0.84615,0.99224,0.99861,0.995,0.82817,0.88756,0.52096,0.82628,0.000604,0.000604,0.000604
46,7556.64,0.70653,0.60438,0.85035,0.99392,0.99998,0.995,0.89163,0.6024,0.48045,0.82005,0.000595,0.000595,0.000595
47,7936.26,0.66184,0.57236,0.85192,0.98567,0.99469,0.995,0.89143,0.5858,0.47995,0.83114,0.000586,0.000586,0.000586
48,8198.39,0.64495,0.56877,0.84627,0.99351,0.98709,0.99468,0.86028,0.70784,0.47904,0.82555,0.000577,0.000577,0.000577
49,8467.98,0.65114,0.56343,0.85178,0.99258,1,0.995,0.89162,0.6334,0.48465,0.82171,0.000568,0.000568,0.000568
50,8729.21,0.64413,0.5493,0.84483,0.9978,0.99964,0.995,0.86098,0.70677,0.49142,0.82046,0.000559,0.000559,0.000559
51,8987.79,0.65901,0.57331,0.84947,0.99728,1,0.995,0.87505,0.69314,0.46758,0.82186,0.00055,0.00055,0.00055
52,9245.41,0.64257,0.57775,0.84701,0.99501,0.99911,0.99492,0.8712,0.64421,0.46574,0.815,0.000541,0.000541,0.000541
53,9502.7,0.62652,0.55452,0.84459,0.99473,0.9992,0.995,0.90044,0.56334,0.47129,0.81839,0.000532,0.000532,0.000532
54,9784.52,0.64446,0.58293,0.85171,0.99488,0.99869,0.995,0.89485,0.60446,0.48298,0.82185,0.000523,0.000523,0.000523
55,10043.8,0.67094,0.5832,0.8536,0.99591,0.99669,0.99495,0.84089,0.83511,0.55896,0.83109,0.000514,0.000514,0.000514
56,10302.8,0.65706,0.58298,0.86032,0.99365,1,0.995,0.87482,0.67528,0.5101,0.83149,0.000505,0.000505,0.000505
57,10561.8,0.66023,0.58099,0.8525,0.9872,0.99817,0.995,0.891,0.57573,0.47588,0.81803,0.000496,0.000496,0.000496
58,10824.6,0.6578,0.55549,0.84164,0.99302,1,0.995,0.87977,0.63052,0.48733,0.81888,0.000487,0.000487,0.000487
59,11086.2,0.63797,0.56772,0.84523,0.99293,0.99899,0.995,0.88838,0.55219,0.46367,0.81338,0.000478,0.000478,0.000478
60,11344.8,0.64484,0.56212,0.85178,0.99771,1,0.995,0.86742,0.71773,0.4794,0.81754,0.000469,0.000469,0.000469
61,11619.7,0.61934,0.54607,0.83876,0.9875,0.99953,0.99485,0.91032,0.53658,0.4434,0.81506,0.00046,0.00046,0.00046
62,11880.8,0.56737,0.51724,0.83,0.99684,1,0.995,0.91198,0.53183,0.43774,0.80165,0.000451,0.000451,0.000451
63,12143.7,0.59258,0.52507,0.83573,0.99317,0.99936,0.995,0.8846,0.62136,0.45758,0.80859,0.000442,0.000442,0.000442
64,12402.1,0.58344,0.5127,0.83912,0.99386,0.9998,0.995,0.89326,0.58499,0.44781,0.81622,0.000433,0.000433,0.000433
65,12659.2,0.61568,0.53978,0.84172,0.99304,1,0.995,0.91352,0.5334,0.44275,0.81136,0.000424,0.000424,0.000424
66,12916.5,0.58808,0.51053,0.83218,0.99134,0.99974,0.995,0.8959,0.59019,0.45748,0.80807,0.000415,0.000415,0.000415
67,13176.6,0.61178,0.52786,0.84391,0.9972,1,0.995,0.91136,0.54883,0.43326,0.80398,0.000406,0.000406,0.000406
68,13441.4,0.61194,0.52588,0.83888,0.98724,1,0.99497,0.87461,0.6702,0.4766,0.81114,0.000397,0.000397,0.000397
69,13701.8,0.57572,0.51248,0.83915,0.9908,1,0.995,0.90143,0.52806,0.42914,0.80599,0.000388,0.000388,0.000388
70,13961.4,0.60724,0.5275,0.8416,0.99631,1,0.995,0.89662,0.54471,0.45068,0.80567,0.000379,0.000379,0.000379
71,14219,0.60326,0.52152,0.83834,0.99386,0.99941,0.995,0.90933,0.56105,0.44239,0.80129,0.00037,0.00037,0.00037
72,14478.4,0.58028,0.50409,0.83681,0.99408,0.99872,0.995,0.91277,0.51179,0.41037,0.80784,0.000361,0.000361,0.000361
73,14738.6,0.5568,0.50076,0.83534,0.99244,1,0.995,0.90738,0.54525,0.42253,0.80302,0.000352,0.000352,0.000352
74,14998.5,0.55498,0.49417,0.83709,0.99511,0.99882,0.995,0.91736,0.49005,0.41823,0.80416,0.000343,0.000343,0.000343
75,15258.4,0.57565,0.51007,0.84349,0.99731,1,0.995,0.9119,0.51149,0.42992,0.80139,0.000334,0.000334,0.000334
76,15522.1,0.53176,0.48018,0.83703,0.99571,1,0.995,0.9039,0.56183,0.44402,0.80442,0.000325,0.000325,0.000325
